timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,vel_x,vel_y,vel_z,bg_x,bg_y,bg_z,ba_x,ba_y,ba_z,grav_x,grav_y,grav_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_rot_x,delta_rot_y,delta_rot_z,P_d0,P_d1,P_d2,P_d3,P_d4,P_d5,P_d6,P_d7,P_d8,P_d9,P_d10,P_d11,P_d12,P_d13,P_d14,P_d15,P_d16,P_d17,P_d18,P_d19,P_d20,P_d21,P_d22,effct_feat_num,feats_down_size,res_mean,icp_time,kdtree_size,global_match,wall_time,kdtree_incre_time,rebuild_active,rebuild_queue,safe_blocked,time_imu,time_ds,time_ekf,time_map,time_pub,buf_lidar,buf_imu
1.195939,0.010274,-0.002924,-0.012740,-0.002611,0.001897,0.000570,0.059531,0.024564,-0.062010,0.016961,-0.001899,-0.018253,-0.041277,-0.017220,0.041255,1.034240,0.058164,-9.754150,-0.001652,0.000814,0.001028,-0.000163,0.000080,-0.000054,0.0000124561,0.0000120456,0.0000131067,0.0000084463,0.0000084844,0.0000100068,0.0000084459,0.0000084725,0.0000099858,0.0000099994,0.0000099998,0.0000099993,0.0007405654,0.0007251881,0.0007195348,0.0000964222,0.0000964224,0.0000964244,0.0008441374,0.0008382379,0.0007788354,0.0000084623,0.0000084265,676,933,0.02581834,0.010750,4308.000000,0,845.564181,0.003362,0,0,0,0.0000,0.0002,0.0108,0.0034,0.0013,-0.0019,258,675978924
1.296139,0.009231,-0.002459,-0.012125,-0.002706,0.001922,0.000539,0.055008,0.026848,-0.059803,0.016965,-0.001901,-0.018250,-0.039508,-0.018103,0.039852,1.032708,0.059025,-9.754307,-0.001044,0.000466,0.000614,-0.000095,0.000024,-0.000031,0.0000119258,0.0000116014,0.0000124538,0.0000084315,0.0000084663,0.0000100007,0.0000084313,0.0000084578,0.0000099849,0.0000099994,0.0000099998,0.0000099993,0.0007295784,0.0007148865,0.0007095961,0.0000964222,0.0000964224,0.0000964244,0.0008425197,0.0008367319,0.0007751118,0.0000084476,0.0000084120,675,933,0.02554363,0.015747,4349.000000,0,845.619386,0.001879,0,0,0,0.0000,0.0003,0.0157,0.0019,0.0004,-0.0019,268,-1110152926
1.396029,0.008576,-0.002154,-0.011722,-0.002770,0.001943,0.000523,0.052183,0.028347,-0.058345,0.016968,-0.001902,-0.018248,-0.038399,-0.018686,0.038927,1.031753,0.059594,-9.754405,-0.000655,0.000305,0.000403,-0.000064,0.000022,-0.000016,0.0000115868,0.0000113160,0.0000120295,0.0000084220,0.0000084550,0.0000099967,0.0000084219,0.0000084484,0.0000099841,0.0000099993,0.0000099998,0.0000099993,0.0007225747,0.0007082715,0.0007031445,0.0000964222,0.0000964224,0.0000964244,0.0008414874,0.0008357643,0.0007726940,0.0000084383,0.0000084028,674,933,0.02534419,0.017212,4315.000000,0,845.670837,0.002339,0,0,0,0.0000,0.0004,0.0172,0.0024,0.0004,-0.0019,278,-955651047
2.796549,0.026659,-0.003799,0.018893,-0.004412,0.004404,0.000848,-0.030345,-0.025359,0.053737,0.017717,-0.003145,-0.018197,-0.035885,-0.017594,0.033183,1.030010,0.058624,-9.754595,0.018083,-0.001645,0.030616,-0.001642,0.002461,0.000327,0.0000187108,0.0000173310,0.0000266499,0.0000084439,0.0000084921,0.0000100430,0.0000083723,0.0000083952,0.0000099837,0.0000099993,0.0000099998,0.0000099993,0.0171379612,0.0172623480,0.0019226372,0.0001331525,0.0001331306,0.0001358613,0.0008755250,0.0008706860,0.0007796714,0.0000083838,0.0000083512,661,998,0.17897893,0.022464,4293.000000,0,845.730650,0.003367,0,0,1,0.0045,0.0049,0.0225,0.0035,0.0005,-0.0031,173,993713380
2.895481,-0.006164,0.002776,-0.001033,-0.002047,0.001862,-0.000182,-0.344046,0.046299,-0.097682,0.016991,-0.003822,-0.017984,-0.038655,-0.017616,0.058777,1.030350,0.058442,-9.754560,-0.032823,0.006575,-0.019926,0.002367,-0.002541,-0.001031,0.0000187133,0.0000167280,0.0000187625,0.0000084332,0.0000084895,0.0000100404,0.0000083722,0.0000083950,0.0000099837,0.0000099993,0.0000099997,0.0000099992,0.0014616557,0.0013152395,0.0010728734,0.0001296160,0.0001295974,0.0001324004,0.0008751729,0.0008707296,0.0007432790,0.0000083835,0.0000083510,682,919,0.03969299,0.013928,4552.000000,0,845.768858,0.002331,0,0,0,0.0015,0.0017,0.0139,0.0024,0.0003,-0.0038,164,-433152301
2.996448,-0.024617,-0.002703,-0.005201,-0.002797,0.003085,0.000435,-0.237204,-0.008581,-0.065794,0.017439,-0.003722,-0.018170,-0.040431,-0.016547,0.050666,1.032582,0.057595,-9.754329,-0.018452,-0.005479,-0.004168,-0.000751,0.001223,0.000618,0.0000168389,0.0000157938,0.0000180861,0.0000084247,0.0000084634,0.0000100406,0.0000083661,0.0000083891,0.0000099837,0.0000099993,0.0000099996,0.0000099991,0.0004366259,0.0003929581,0.0005385698,0.0001263607,0.0001263402,0.0001290137,0.0008740597,0.0008699883,0.0006980802,0.0000083777,0.0000083450,692,935,0.03374832,0.010991,4752.000000,0,845.815254,0.002685,0,0,0,0.0009,0.0011,0.0110,0.0028,0.0005,-0.0037,153,-1579029559
3.096423,-0.023061,-0.004316,-0.002379,-0.003013,0.005734,0.000204,-0.108023,-0.003250,-0.023511,0.017498,-0.003947,-0.018167,-0.054626,-0.019775,0.034348,1.046492,0.060538,-9.752829,0.001555,-0.001612,0.002822,-0.000215,0.002649,-0.000228,0.0000161853,0.0000149982,0.0000178228,0.0000083832,0.0000084291,0.0000100357,0.0000083375,0.0000083602,0.0000099836,0.0000099993,0.0000099996,0.0000099991,0.0002601727,0.0002281685,0.0003169735,0.0001233105,0.0001232918,0.0001258355,0.0008703681,0.0008664373,0.0006642464,0.0000083482,0.0000083160,670,938,0.03894066,0.013117,4949.000000,0,845.867787,0.001931,0,0,0,0.0011,0.0013,0.0131,0.0020,0.0004,-0.0039,143,1870689700
3.196406,-0.011963,-0.009489,0.002035,-0.004040,0.007299,0.001112,-0.001455,-0.013298,0.005553,0.017801,-0.004031,-0.018437,-0.077479,-0.018755,0.019573,1.067933,0.059699,-9.750510,0.011098,-0.005174,0.004414,-0.001030,0.001564,0.000907,0.0000152578,0.0000144127,0.0000170593,0.0000082970,0.0000083374,0.0000100378,0.0000082624,0.0000082816,0.0000099833,0.0000099992,0.0000099996,0.0000099990,0.0002085521,0.0001925731,0.0002233787,0.0001204357,0.0001204174,0.0001228433,0.0008607526,0.0008571066,0.0006323299,0.0000082679,0.0000082395,712,981,0.03638627,0.016652,5062.000000,0,845.921530,0.002296,0,0,0,0.0012,0.0014,0.0167,0.0025,0.0005,-0.0040,133,-1909806674
3.296679,-0.000695,-0.004378,-0.005742,-0.003022,0.006880,0.000102,0.063649,0.021231,-0.022594,0.017472,-0.003755,-0.018217,-0.092290,-0.028758,0.032612,1.079644,0.068452,-9.749162,0.011268,0.005112,-0.007777,0.001022,-0.000417,-0.001007,0.0000152419,0.0000139878,0.0000169428,0.0000081584,0.0000082008,0.0000100255,0.0000081303,0.0000081537,0.0000099824,0.0000099992,0.0000099996,0.0000099990,0.0002061204,0.0001851757,0.0001947154,0.0001176645,0.0001176469,0.0001199631,0.0008453925,0.0008406694,0.0006007457,0.0000081373,0.0000081046,685,923,0.03144380,0.017533,5221.000000,0,845.972673,0.002792,0,0,0,0.0015,0.0018,0.0175,0.0031,0.0003,-0.0038,123,1644860626
3.396477,0.010146,0.000932,-0.008964,-0.003663,0.007175,0.000431,0.104320,0.042240,-0.024293,0.017586,-0.003753,-0.018327,-0.098164,-0.034158,0.033458,1.084706,0.073231,-9.748566,0.010841,0.005310,-0.003222,-0.000642,0.000294,0.000327,0.0000147902,0.0000140871,0.0000169625,0.0000080052,0.0000080239,0.0000100266,0.0000079681,0.0000079754,0.0000099812,0.0000099992,0.0000099996,0.0000099989,0.0001954394,0.0001877296,0.0001866325,0.0001150285,0.0001150108,0.0001172282,0.0008234477,0.0008205159,0.0005657181,0.0000079560,0.0000079392,655,934,0.03144060,0.008197,4688.000000,0,846.012859,0.002650,0,0,0,0.0012,0.0014,0.0082,0.0027,0.0003,-0.0038,113,1824018623
