timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,vel_x,vel_y,vel_z,bg_x,bg_y,bg_z,ba_x,ba_y,ba_z,grav_x,grav_y,grav_z,delta_pos_x,delta_pos_y,delta_pos_z,delta_rot_x,delta_rot_y,delta_rot_z,P_d0,P_d1,P_d2,P_d3,P_d4,P_d5,P_d6,P_d7,P_d8,P_d9,P_d10,P_d11,P_d12,P_d13,P_d14,P_d15,P_d16,P_d17,P_d18,P_d19,P_d20,P_d21,P_d22,effct_feat_num,feats_down_size,res_mean,icp_time,kdtree_size,global_match,wall_time,kdtree_incre_time,rebuild_active,rebuild_queue,safe_blocked,time_imu,time_ds,time_ekf,time_map,time_pub,buf_lidar,buf_imu
187.395893,-2.284346,-1.865891,0.319773,0.231291,-0.033586,-1.603626,0.004428,0.009197,-0.009047,0.017300,-0.001822,-0.019754,0.224284,-0.421670,-0.005269,1.266625,-0.044824,-9.726774,0.001106,-0.000132,0.001469,-0.000557,-0.001587,0.000874,0.0000168345,0.0000398217,0.0000233057,0.0000057372,0.0000071597,0.0000089755,0.0000056628,0.0000055618,0.0000087119,0.0000098544,0.0000099085,0.0000098890,0.0005331043,0.0010038582,0.0007057370,0.0002732556,0.0002735510,0.0002736470,0.0010521836,0.0010522360,0.0003216394,0.0000025042,0.0000024970,224,729,0.03758595,0.008872,17453.000000,0,1030.762684,0.001460,0,0,0,0.0005,0.0006,0.0089,0.0015,0.0003,-0.0018,3,1900156243
187.495516,-2.286538,-1.872932,0.326735,0.229031,-0.035494,-1.603348,-0.009642,-0.007054,0.021423,0.017300,-0.001676,-0.019779,0.222765,-0.421406,-0.007739,1.266618,-0.044828,-9.726775,-0.002192,-0.007041,0.006962,-0.000197,-0.002595,0.000589,0.0000159659,0.0000374218,0.0000195497,0.0000057337,0.0000070608,0.0000089874,0.0000056628,0.0000055618,0.0000087119,0.0000098544,0.0000099085,0.0000098890,0.0008446541,0.0011996745,0.0008929926,0.0002725980,0.0002728851,0.0002729859,0.0010508664,0.0010510564,0.0003200949,0.0000025042,0.0000024970,244,743,0.03688977,0.012983,17456.000000,0,1030.917602,0.001432,0,0,0,0.0011,0.0013,0.0130,0.0015,0.0005,-0.0017,1,-350075846
187.595644,-2.287939,-1.873942,0.326785,0.229271,-0.034515,-1.604553,-0.015394,-0.002665,0.014666,0.017306,-0.001723,-0.019711,0.222521,-0.421116,-0.007052,1.266618,-0.044826,-9.726775,-0.001401,-0.001010,0.000050,-0.000431,0.000638,-0.001294,0.0000162932,0.0000352678,0.0000193581,0.0000057525,0.0000067563,0.0000090836,0.0000056628,0.0000055618,0.0000087119,0.0000098544,0.0000099085,0.0000098890,0.0008395273,0.0012304495,0.0009109421,0.0002716234,0.0002719074,0.0002720096,0.0010492859,0.0010494043,0.0003186175,0.0000025042,0.0000024970,243,747,0.03718546,0.012604,17461.000000,0,1030.967360,0.001158,0,0,0,0.0008,0.0014,0.0126,0.0012,0.0003,-0.0017,1,501354609
187.696611,-2.288770,-1.870703,0.327953,0.229318,-0.033890,-1.603978,-0.012469,0.018981,0.012374,0.017326,-0.001735,-0.019731,0.223353,-0.421310,-0.006832,1.266622,-0.044825,-9.726774,-0.000832,0.003239,0.001168,-0.000395,0.000472,0.000515,0.0000172223,0.0000369168,0.0000195186,0.0000057352,0.0000071574,0.0000090644,0.0000056628,0.0000055618,0.0000087119,0.0000098544,0.0000099085,0.0000098890,0.0007898578,0.0012274519,0.0008535452,0.0002705858,0.0002708683,0.0002709699,0.0010478105,0.0010479928,0.0003170704,0.0000025042,0.0000024970,238,725,0.03378637,0.019973,17426.000000,0,1031.174981,0.001631,0,0,0,0.0013,0.0017,0.0200,0.0017,0.0004,-0.0017,1,985100824
187.795778,-2.286790,-1.865357,0.327526,0.229002,-0.034206,-1.603337,-0.000640,0.040744,0.010605,0.017348,-0.001684,-0.019767,0.224711,-0.421922,-0.006439,1.266627,-0.044821,-9.726774,0.001981,0.005345,-0.000427,-0.000020,-0.000333,0.000683,0.0000142294,0.0000269271,0.0000156649,0.0000056958,0.0000064108,0.0000088848,0.0000056628,0.0000055617,0.0000087119,0.0000098544,0.0000099085,0.0000098890,0.0006847684,0.0010667105,0.0007438844,0.0002705854,0.0002708663,0.0002709693,0.0010471633,0.0010476394,0.0003166501,0.0000025042,0.0000024970,243,725,0.03530610,0.013716,17428.000000,0,1031.217091,0.001662,0,0,0,0.0000,0.0002,0.0137,0.0018,0.0003,-0.0017,1,-1188809160
187.895817,-2.288543,-1.857813,0.323827,0.230464,-0.033850,-1.604312,-0.010669,0.036980,-0.018348,0.017329,-0.001709,-0.019728,0.224370,-0.421285,-0.005118,1.266628,-0.044820,-9.726774,-0.001754,0.007544,-0.003700,0.000722,0.001058,-0.001095,0.0000175984,0.0000425604,0.0000228354,0.0000057553,0.0000069674,0.0000090638,0.0000056628,0.0000055617,0.0000087119,0.0000098544,0.0000099085,0.0000098890,0.0017453086,0.0023573916,0.0017027434,0.0002713937,0.0002716710,0.0002717738,0.0010465192,0.0010472938,0.0003162457,0.0000025042,0.0000024970,248,728,0.03598936,0.012593,17429.000000,0,1031.266803,0.001563,0,0,0,0.0007,0.0008,0.0126,0.0016,0.0003,-0.0017,1,1275593535
187.995707,-2.291783,-1.857431,0.327801,0.229622,-0.034331,-1.603499,-0.021326,0.010747,0.019510,0.017364,-0.001671,-0.019752,0.223957,-0.421098,-0.006310,1.266626,-0.044821,-9.726774,-0.003239,0.000382,0.003974,-0.000249,-0.000754,0.000904,0.0000177934,0.0000426810,0.0000213143,0.0000057556,0.0000069873,0.0000090730,0.0000056628,0.0000055617,0.0000087119,0.0000098544,0.0000099085,0.0000098890,0.0015957426,0.0022921940,0.0016641641,0.0002715171,0.0002717980,0.0002718995,0.0010460022,0.0010473416,0.0003160277,0.0000025042,0.0000024970,233,748,0.03326130,0.013163,17433.000000,0,1031.568295,0.001762,0,0,0,0.0013,0.0017,0.0132,0.0018,0.0003,-0.0017,2,-615984922
188.095807,-2.291888,-1.858331,0.328049,0.229420,-0.034422,-1.603553,-0.021868,0.006792,0.020823,0.017366,-0.001663,-0.019752,0.223792,-0.421096,-0.006379,1.266629,-0.044821,-9.726774,-0.000105,-0.000900,0.000248,-0.000066,-0.000191,-0.000032,0.0000143296,0.0000304576,0.0000165853,0.0000057063,0.0000063443,0.0000089052,0.0000056627,0.0000055617,0.0000087118,0.0000098544,0.0000099085,0.0000098890,0.0014518548,0.0020532191,0.0015225984,0.0002715164,0.0002717970,0.0002718994,0.0010456519,0.0010472291,0.0003158497,0.0000025042,0.0000024970,232,748,0.03332583,0.014813,17434.000000,0,1031.618156,0.001520,0,0,0,0.0000,0.0002,0.0148,0.0016,0.0005,-0.0017,2,223952015
188.195733,-2.291844,-1.857874,0.328099,0.229526,-0.034294,-1.603668,-0.021610,0.008813,0.021126,0.017366,-0.001668,-0.019748,0.223850,-0.421116,-0.006380,1.266632,-0.044818,-9.726773,0.000044,0.000457,0.000050,-0.000012,0.000135,-0.000132,0.0000129947,0.0000249161,0.0000146286,0.0000056894,0.0000061071,0.0000088461,0.0000056627,0.0000055617,0.0000087117,0.0000098544,0.0000099085,0.0000098890,0.0013965892,0.0019448878,0.0014641538,0.0002715162,0.0002717966,0.0002718993,0.0010454942,0.0010471858,0.0003157751,0.0000025042,0.0000024970,230,748,0.03300011,0.014740,17434.000000,0,1031.668056,0.001026,0,0,0,0.0000,0.0001,0.0147,0.0011,0.0003,-0.0017,4,1575239512
188.295653,-2.294289,-1.892301,0.334643,0.227677,-0.037477,-1.606694,-0.005641,-0.164175,0.054460,0.017355,-0.001524,-0.019711,0.220787,-0.421639,-0.006425,1.266620,-0.044825,-9.726775,-0.002446,-0.034427,0.006544,0.001012,-0.003446,-0.002613,0.0000181881,0.0000515410,0.0000228292,0.0000057467,0.0000069547,0.0000090832,0.0000056627,0.0000055617,0.0000087117,0.0000098544,0.0000099085,0.0000098890,0.0032196960,0.0041044211,0.0030961890,0.0002755836,0.0002758608,0.0002759639,0.0010490622,0.0010509380,0.0003193602,0.0000025042,0.0000024970,247,755,0.04115047,0.014374,17434.000000,0,1031.718178,0.001234,0,0,0,0.0005,0.0006,0.0144,0.0013,0.0005,-0.0015,2,1071099883
188.395652,-2.282425,-1.892338,0.342180,0.230810,-0.033325,-1.603964,0.084078,-0.077992,0.080172,0.017174,-0.002038,-0.019873,0.222417,-0.423259,-0.006194,1.266630,-0.044836,-9.726773,0.011864,-0.000037,0.007537,-0.000823,0.004835,0.002150,0.0000177826,0.0000424560,0.0000213432,0.0000057312,0.0000068382,0.0000090499,0.0000056627,0.0000055617,0.0000087117,0.0000098543,0.0000099085,0.0000098890,0.0011842806,0.0023414149,0.0013832198,0.0002737153,0.0002740123,0.0002741048,0.0010486305,0.0010505343,0.0003189342,0.0000025042,0.0000024970,260,742,0.03667717,0.009871,17437.000000,0,1031.763660,0.001978,0,0,0,0.0005,0.0006,0.0099,0.0021,0.0005,-0.0020,1,1841904951
188.495716,-2.275968,-1.897414,0.341868,0.229293,-0.034849,-1.603140,0.067497,-0.055896,0.034185,0.017217,-0.002016,-0.019900,0.222489,-0.422680,-0.005010,1.266630,-0.044831,-9.726773,0.006457,-0.005076,-0.000312,-0.000001,-0.001828,0.001048,0.0000165066,0.0000405361,0.0000197681,0.0000057285,0.0000069238,0.0000090666,0.0000056627,0.0000055617,0.0000087117,0.0000098542,0.0000099084,0.0000098890,0.0011366583,0.0019330746,0.0012550409,0.0002734512,0.0002737424,0.0002738430,0.0010487789,0.0010506513,0.0003189876,0.0000025042,0.0000024970,264,781,0.03655149,0.022079,17432.000000,0,1032.078512,0.001921,0,0,0,0.0013,0.0017,0.0221,0.0020,0.0006,-0.0020,1,1551004664
188.596624,-2.276003,-1.894908,0.341624,0.229167,-0.034945,-1.602941,0.067177,-0.044695,0.032979,0.017221,-0.002040,-0.019908,0.222731,-0.422638,-0.004953,1.266633,-0.044832,-9.726773,-0.000035,0.002506,-0.000244,-0.000025,-0.000120,0.000213,0.0000135522,0.0000282278,0.0000154754,0.0000056914,0.0000062764,0.0000088904,0.0000056627,0.0000055616,0.0000087113,0.0000098542,0.0000099084,0.0000098890,0.0010409074,0.0016867609,0.0011317620,0.0002734504,0.0002737391,0.0002738427,0.0010486468,0.0010505724,0.0003188927,0.0000025042,0.0000024970,271,781,0.03515434,0.014413,17424.000000,0,1032.117811,0.001252,0,0,0,0.0000,0.0002,0.0144,0.0013,0.0003,-0.0020,1,-1708229906
188.695743,-2.267411,-1.884425,0.338547,0.229046,-0.035604,-1.602702,0.033970,0.042273,-0.002178,0.017177,-0.002101,-0.019922,0.224583,-0.421432,-0.003337,1.266646,-0.044824,-9.726771,0.008591,0.010483,-0.003077,0.000338,-0.000460,0.000301,0.0000179221,0.0000438806,0.0000241400,0.0000057715,0.0000070876,0.0000090440,0.0000056627,0.0000055616,0.0000087113,0.0000098542,0.0000099084,0.0000098890,0.0039398176,0.0044057613,0.0040702335,0.0002764931,0.0002767803,0.0002768845,0.0010514454,0.0010530765,0.0003215301,0.0000025042,0.0000024970,243,736,0.03644446,0.012381,17430.000000,0,1032.166382,0.001696,0,0,0,0.0006,0.0008,0.0124,0.0017,0.0004,-0.0021,1,1421049103
188.795690,-2.267678,-1.882276,0.336044,0.228908,-0.035623,-1.602448,0.032564,0.050073,-0.013081,0.017175,-0.002107,-0.019927,0.224739,-0.421300,-0.002934,1.266651,-0.044823,-9.726771,-0.000267,0.002149,-0.002503,-0.000084,-0.000075,0.000262,0.0000142559,0.0000300372,0.0000179059,0.0000057130,0.0000063862,0.0000088898,0.0000056627,0.0000055616,0.0000087113,0.0000098542,0.0000099084,0.0000098889,0.0038635501,0.0042238183,0.0039528709,0.0002764930,0.0002767799,0.0002768845,0.0010512797,0.0010529763,0.0003213691,0.0000025042,0.0000024970,239,736,0.03364880,0.019462,17434.000000,0,1032.223063,0.001634,0,0,0,0.0000,0.0003,0.0195,0.0017,0.0003,-0.0021,3,1339878297
188.895672,-2.284246,-1.873293,0.334795,0.226441,-0.039080,-1.603080,-0.093871,0.048178,0.005540,0.017145,-0.002018,-0.019932,0.224574,-0.419225,-0.003312,1.266647,-0.044819,-9.726771,-0.016568,0.008982,-0.001249,0.000704,-0.003775,-0.000174,0.0000198678,0.0000527606,0.0000243231,0.0000057452,0.0000073914,0.0000091750,0.0000056627,0.0000055616,0.0000087113,0.0000098542,0.0000099084,0.0000098889,0.0014930734,0.0024918746,0.0016379553,0.0002771528,0.0002774374,0.0002775404,0.0010518349,0.0010536325,0.0003219322,0.0000025042,0.0000024970,215,672,0.04008846,0.007176,17432.000000,0,1032.261136,0.002255,0,0,0,0.0005,0.0006,0.0072,0.0023,0.0003,-0.0020,1,1802646218
188.995938,-2.285103,-1.874795,0.329971,0.228189,-0.036203,-1.603355,-0.050301,0.024144,-0.010364,0.017074,-0.002172,-0.019908,0.223833,-0.420567,-0.002384,1.266647,-0.044824,-9.726771,-0.000857,-0.001502,-0.004825,-0.000746,0.002865,-0.000629,0.0000173421,0.0000413446,0.0000218489,0.0000057503,0.0000069858,0.0000089962,0.0000056627,0.0000055616,0.0000087113,0.0000098542,0.0000099084,0.0000098889,0.0010218106,0.0016542006,0.0011446253,0.0002760051,0.0002762975,0.0002763944,0.0010514987,0.0010532604,0.0003216544,0.0000025042,0.0000024970,248,765,0.04075859,0.015069,17434.000000,0,1032.468871,0.001119,0,0,0,0.0005,0.0006,0.0151,0.0012,0.0003,-0.0022,1,-1650811121
189.095786,-2.284823,-1.880467,0.329277,0.227798,-0.036687,-1.603456,-0.048593,0.000362,-0.014269,0.017067,-0.002124,-0.019911,0.223236,-0.420669,-0.002336,1.266646,-0.044818,-9.726771,0.000280,-0.005672,-0.000694,0.000070,-0.000558,-0.000033,0.0000140298,0.0000287225,0.0000168213,0.0000057023,0.0000063134,0.0000088516,0.0000056625,0.0000055616,0.0000087104,0.0000098542,0.0000099084,0.0000098889,0.0009072039,0.0014336433,0.0009996009,0.0002760041,0.0002762948,0.0002763939,0.0010513637,0.0010531439,0.0003215416,0.0000025042,0.0000024970,251,765,0.04106593,0.009963,17441.000000,0,1032.513422,0.002311,0,0,0,0.0000,0.0002,0.0100,0.0024,0.0004,-0.0021,3,-2027204254
189.195689,-2.282833,-1.888360,0.335145,0.228799,-0.036895,-1.602831,0.015485,-0.042048,0.039460,0.016995,-0.002101,-0.019929,0.222454,-0.423506,-0.003656,1.266645,-0.044829,-9.726771,0.001990,-0.007892,0.005868,0.000735,0.000574,0.000569,0.0000172101,0.0000436221,0.0000218901,0.0000057312,0.0000067952,0.0000089449,0.0000056624,0.0000055616,0.0000087104,0.0000098542,0.0000099084,0.0000098889,0.0013856816,0.0020288046,0.0013269217,0.0002760090,0.0002762957,0.0002763949,0.0010513961,0.0010525530,0.0003211166,0.0000025042,0.0000024970,255,772,0.03664528,0.012551,17440.000000,0,1032.616624,0.002517,0,0,0,0.0007,0.0009,0.0126,0.0026,0.0004,-0.0021,2,-2138383801
189.295622,-2.285334,-1.892084,0.342788,0.225173,-0.038766,-1.603117,-0.014487,-0.043424,0.069748,0.017087,-0.001986,-0.019932,0.222605,-0.422792,-0.004510,1.266646,-0.044825,-9.726771,-0.002501,-0.003724,0.007643,-0.001051,-0.003502,0.000116,0.0000164364,0.0000404405,0.0000217252,0.0000057618,0.0000070254,0.0000089854,0.0000056624,0.0000055616,0.0000087104,0.0000098542,0.0000099084,0.0000098889,0.0012548507,0.0019026069,0.0013913345,0.0002758448,0.0002761328,0.0002762331,0.0010510697,0.0010523182,0.0003207906,0.0000025042,0.0000024970,246,733,0.03523651,0.012512,17442.000000,0,1032.766877,0.001746,0,0,0,0.0009,0.0011,0.0125,0.0018,0.0005,-0.0020,2,-1741451354
189.395556,-2.285337,-1.891641,0.343868,0.225057,-0.038994,-1.603369,-0.014256,-0.041342,0.075682,0.017083,-0.001982,-0.019924,0.222636,-0.422959,-0.004729,1.266659,-0.044806,-9.726770,-0.000003,0.000443,0.001080,0.000083,-0.000240,-0.000223,0.0000135858,0.0000287862,0.0000169581,0.0000057083,0.0000063255,0.0000088571,0.0000056622,0.0000055615,0.0000087093,0.0000098541,0.0000099084,0.0000098889,0.0011373473,0.0016934488,0.0012512804,0.0002758440,0.0002761308,0.0002762329,0.0010508046,0.0010521703,0.0003205797,0.0000025042,0.0000024970,246,733,0.03391514,0.009735,17445.000000,0,1032.813978,0.001187,0,0,0,0.0000,0.0002,0.0097,0.0012,0.0003,-0.0020,2,-807290715
189.495656,-2.288606,-1.886040,0.340196,0.227958,-0.034325,-1.603281,-0.017548,0.028489,-0.021364,0.017134,-0.002189,-0.019893,0.224097,-0.422284,-0.001308,1.266661,-0.044806,-9.726769,-0.003268,0.005601,-0.003671,-0.001192,0.004745,-0.000492,0.0000177588,0.0000455974,0.0000230788,0.0000057409,0.0000072998,0.0000090510,0.0000056622,0.0000055615,0.0000087093,0.0000098541,0.0000099084,0.0000098889,0.0016618626,0.0023573240,0.0015788716,0.0002762520,0.0002765357,0.0002766388,0.0010508596,0.0010523349,0.0003204595,0.0000025042,0.0000024970,247,779,0.03884779,0.010535,17445.000000,0,1032.914353,0.001596,0,0,0,0.0005,0.0006,0.0105,0.0016,0.0007,-0.0022,1,1456581958
189.595551,-2.294346,-1.894567,0.332131,0.225614,-0.039456,-1.604195,-0.045099,-0.015704,-0.059333,0.017109,-0.001943,-0.019874,0.222314,-0.421403,-0.000499,1.266656,-0.044812,-9.726770,-0.005740,-0.008527,-0.008065,0.001869,-0.004755,-0.000327,0.0000178703,0.0000442865,0.0000202592,0.0000057250,0.0000070411,0.0000091924,0.0000056622,0.0000055615,0.0000087093,0.0000098541,0.0000099084,0.0000098889,0.0013247573,0.0020598773,0.0013671652,0.0002760057,0.0002762885,0.0002763926,0.0010505308,0.0010521901,0.0003201241,0.0000025042,0.0000024970,230,650,0.03906306,0.012958,17441.000000,0,1032.967869,0.001465,0,0,0,0.0013,0.0014,0.0130,0.0015,0.0003,-0.0019,1,1760460798
189.695527,-2.289819,-1.887921,0.330670,0.225647,-0.037857,-1.603182,0.006099,0.029796,-0.027305,0.017131,-0.002099,-0.019952,0.223662,-0.423526,-0.001018,1.266660,-0.044809,-9.726770,0.004527,0.006647,-0.001461,-0.001045,0.001108,0.000874,0.0000167636,0.0000419992,0.0000221660,0.0000057688,0.0000070595,0.0000089709,0.0000056622,0.0000055615,0.0000087093,0.0000098540,0.0000099084,0.0000098888,0.0006882270,0.0013712046,0.0008895829,0.0002736391,0.0002739304,0.0002740212,0.0010496006,0.0010512306,0.0003192667,0.0000025042,0.0000024970,248,791,0.03855925,0.014426,17440.000000,0,1033.018915,0.001793,0,0,0,0.0010,0.0013,0.0144,0.0019,0.0005,-0.0021,2,-333332907
189.795718,-2.287259,-1.893608,0.326980,0.226676,-0.038497,-1.605113,0.017253,-0.009464,-0.023387,0.017046,-0.002068,-0.019777,0.222187,-0.424077,-0.000821,1.266659,-0.044813,-9.726770,0.002560,-0.005688,-0.003689,0.001126,0.000073,-0.001934,0.0000161509,0.0000422471,0.0000222584,0.0000057529,0.0000071164,0.0000089747,0.0000056622,0.0000055615,0.0000087092,0.0000098540,0.0000099084,0.0000098888,0.0005368815,0.0010694060,0.0006746675,0.0002715338,0.0002718192,0.0002719095,0.0010487002,0.0010500451,0.0003181483,0.0000025042,0.0000024970,250,755,0.03750082,0.015276,17446.000000,0,1033.169058,0.001491,0,0,0,0.0005,0.0006,0.0153,0.0015,0.0004,-0.0021,1,-1980994158
189.895567,-2.283188,-1.902423,0.332688,0.225804,-0.038517,-1.603863,0.033234,-0.039911,0.013282,0.017055,-0.001975,-0.019816,0.221109,-0.425587,-0.002995,1.266658,-0.044813,-9.726770,0.004071,-0.008815,0.005708,-0.000578,-0.000446,0.001301,0.0000158026,0.0000406524,0.0000193510,0.0000057310,0.0000068144,0.0000090343,0.0000056622,0.0000055615,0.0000087092,0.0000098540,0.0000099084,0.0000098888,0.0011005861,0.0014886953,0.0011560722,0.0002714891,0.0002717665,0.0002718621,0.0010482268,0.0010492417,0.0003173321,0.0000025042,0.0000024970,248,741,0.03616550,0.021579,17451.000000,0,1033.326621,0.001690,0,0,0,0.0013,0.0017,0.0216,0.0018,0.0004,-0.0020,1,1248474861
189.995603,-2.280614,-1.898679,0.335308,0.227293,-0.035758,-1.602716,0.030653,-0.002229,0.018407,0.017098,-0.002098,-0.019859,0.222754,-0.425335,-0.003328,1.266663,-0.044808,-9.726769,0.002574,0.003744,0.002620,-0.000887,0.002769,0.000811,0.0000157575,0.0000371174,0.0000200714,0.0000057628,0.0000069993,0.0000089634,0.0000056622,0.0000055615,0.0000087092,0.0000098540,0.0000099084,0.0000098888,0.0009731315,0.0014916263,0.0011488642,0.0002709299,0.0002712056,0.0002713006,0.0010471064,0.0010477040,0.0003161291,0.0000025042,0.0000024970,261,747,0.03652143,0.015634,17454.000000,0,1033.571025,0.002326,0,0,0,0.0009,0.0012,0.0156,0.0024,0.0006,-0.0021,4,-912654804
190.095505,-2.280583,-1.895298,0.335499,0.227056,-0.035465,-1.602633,0.031003,0.011253,0.019996,0.017114,-0.002102,-0.019862,0.223366,-0.425298,-0.003344,1.266682,-0.044819,-9.726767,0.000031,0.003380,0.000191,-0.000339,0.000036,0.000075,0.0000133024,0.0000269918,0.0000160750,0.0000057086,0.0000063251,0.0000088362,0.0000056620,0.0000055614,0.0000087084,0.0000098540,0.0000099084,0.0000098888,0.0008633164,0.0013333856,0.0010133687,0.0002709298,0.0002712042,0.0002713004,0.0010466460,0.0010473796,0.0003157366,0.0000025042,0.0000024970,256,747,0.03635275,0.012858,17446.000000,0,1033.616336,0.002027,0,0,0,0.0000,0.0002,0.0129,0.0021,0.0006,-0.0021,4,-594257951
190.195566,-2.271199,-1.896108,0.331601,0.229752,-0.034083,-1.602316,0.040452,0.029701,-0.013630,0.017102,-0.002147,-0.019867,0.222642,-0.425679,-0.001814,1.266680,-0.044827,-9.726767,0.009384,-0.000810,-0.003898,0.000784,0.002609,0.000018,0.0000174364,0.0000506115,0.0000229334,0.0000057586,0.0000073748,0.0000090540,0.0000056620,0.0000055614,0.0000087084,0.0000098540,0.0000099084,0.0000098888,0.0038631568,0.0044246983,0.0039824215,0.0002739835,0.0002742560,0.0002743520,0.0010486521,0.0010496767,0.0003177457,0.0000025042,0.0000024970,232,783,0.03656890,0.010975,17447.000000,0,1033.664887,0.001589,0,0,0,0.0006,0.0008,0.0110,0.0016,0.0005,-0.0021,3,827625153
190.295675,-2.286973,-1.882722,0.323738,0.228526,-0.034701,-1.602594,-0.124538,0.090962,-0.060215,0.017091,-0.002071,-0.019870,0.223975,-0.422304,-0.001131,1.266679,-0.044824,-9.726767,-0.015774,0.013386,-0.007863,-0.000358,-0.001193,-0.000142,0.0000178811,0.0000456230,0.0000223073,0.0000057497,0.0000071556,0.0000090803,0.0000056620,0.0000055614,0.0000087084,0.0000098540,0.0000099084,0.0000098888,0.0015547515,0.0028988758,0.0019009871,0.0002731513,0.0002734252,0.0002735170,0.0010474140,0.0010490592,0.0003169963,0.0000025042,0.0000024970,233,679,0.03964940,0.010173,17445.000000,0,1033.714107,0.001360,0,0,0,0.0006,0.0008,0.0102,0.0014,0.0006,-0.0021,1,1205275945
190.395731,-2.287646,-1.878292,0.325892,0.227389,-0.038672,-1.602052,-0.048158,0.070878,-0.014081,0.017195,-0.001971,-0.019892,0.223620,-0.424271,-0.002020,1.266678,-0.044826,-9.726767,-0.000673,0.004430,0.002155,0.001818,-0.003123,0.000943,0.0000175632,0.0000383077,0.0000229034,0.0000057599,0.0000068361,0.0000089006,0.0000056620,0.0000055614,0.0000087084,0.0000098540,0.0000099084,0.0000098888,0.0011356724,0.0019646824,0.0013778988,0.0002728573,0.0002731296,0.0002732245,0.0010471021,0.0010491674,0.0003171009,0.0000025042,0.0000024970,251,819,0.03850552,0.009742,17446.000000,0,1033.763508,0.001020,0,0,0,0.0005,0.0006,0.0097,0.0011,0.0003,-0.0020,3,49930194
190.496434,-2.279350,-1.870028,0.315810,0.230270,-0.035201,-1.603264,0.022269,0.071490,-0.043641,0.017351,-0.002166,-0.019778,0.223689,-0.426590,-0.000420,1.266685,-0.044825,-9.726766,0.008296,0.008264,-0.010082,-0.000383,0.003863,-0.001687,0.0000171003,0.0000414944,0.0000228001,0.0000057465,0.0000068530,0.0000089589,0.0000056620,0.0000055614,0.0000087084,0.0000098539,0.0000099084,0.0000098888,0.0009235815,0.0016128904,0.0010765020,0.0002718102,0.0002720816,0.0002721759,0.0010468845,0.0010487170,0.0003168285,0.0000025042,0.0000024970,236,747,0.03934583,0.008181,17448.000000,0,1034.211988,0.002193,0,0,0,0.0005,0.0006,0.0082,0.0022,0.0010,-0.0022,1,-370444391
190.595458,-2.277434,-1.870806,0.313551,0.230742,-0.035059,-1.603233,0.032781,0.067834,-0.054934,0.017356,-0.002193,-0.019777,0.223484,-0.426912,-0.000054,1.266696,-0.044819,-9.726765,0.001916,-0.000778,-0.002259,0.000202,0.000393,-0.000013,0.0000140944,0.0000301454,0.0000178963,0.0000057006,0.0000062746,0.0000088414,0.0000056617,0.0000055613,0.0000087067,0.0000098539,0.0000099084,0.0000098888,0.0008222861,0.0013896461,0.0009430698,0.0002718098,0.0002720801,0.0002721755,0.0010466958,0.0010485608,0.0003166981,0.0000025042,0.0000024970,226,747,0.03627761,0.010201,17452.000000,0,1034.263560,0.001149,0,0,0,0.0000,0.0002,0.0102,0.0012,0.0003,-0.0022,2,676386230
190.695626,-2.276805,-1.873476,0.313425,0.230715,-0.035248,-1.603344,0.036415,0.055979,-0.055513,0.017358,-0.002203,-0.019772,0.223121,-0.427043,-0.000061,1.266700,-0.044819,-9.726764,0.000629,-0.002670,-0.000126,0.000109,-0.000145,-0.000092,0.0000128727,0.0000247915,0.0000156837,0.0000056847,0.0000060548,0.0000087989,0.0000056615,0.0000055613,0.0000087059,0.0000098539,0.0000099084,0.0000098888,0.0007811733,0.0012844255,0.0008828854,0.0002718097,0.0002720796,0.0002721754,0.0010466088,0.0010484948,0.0003166388,0.0000025042,0.0000024970,226,747,0.03565295,0.010472,17456.000000,0,1034.313824,0.001457,0,0,0,0.0000,0.0002,0.0105,0.0015,0.0003,-0.0022,6,485730977
190.795596,-2.276503,-1.875087,0.313338,0.230696,-0.035351,-1.603414,0.038152,0.048823,-0.055950,0.017358,-0.002210,-0.019768,0.222901,-0.427104,-0.000065,1.266702,-0.044820,-9.726764,0.000302,-0.001611,-0.000088,0.000057,-0.000083,-0.000060,0.0000121998,0.0000216691,0.0000144382,0.0000056768,0.0000059399,0.0000087772,0.0000056614,0.0000055613,0.0000087055,0.0000098539,0.0000099084,0.0000098887,0.0007585562,0.0012230621,0.0008490277,0.0002718096,0.0002720794,0.0002721753,0.0010465577,0.0010484601,0.0003166053,0.0000025042,0.0000024970,226,747,0.03561268,0.010271,17459.000000,0,1034.363663,0.001708,0,0,0,0.0000,0.0002,0.0103,0.0018,0.0003,-0.0022,6,613306430
190.896549,-2.265572,-1.856437,0.313940,0.231900,-0.032822,-1.603992,-0.005706,0.055196,0.087749,0.017362,-0.002230,-0.019768,0.223152,-0.427161,-0.002712,1.266702,-0.044819,-9.726764,0.010931,0.018651,0.000602,-0.000849,0.002272,-0.000869,0.0000179405,0.0000499268,0.0000213883,0.0000057327,0.0000068377,0.0000089860,0.0000056614,0.0000055613,0.0000087055,0.0000098539,0.0000099084,0.0000098887,0.0103228277,0.0114724105,0.0106057335,0.0002843981,0.0002846723,0.0002847798,0.0010580793,0.0010594897,0.0003276525,0.0000025042,0.0000024970,262,774,0.04042102,0.008523,17448.000000,0,1034.412312,0.001519,0,0,0,0.0005,0.0006,0.0085,0.0016,0.0003,-0.0022,7,237353963
